Unnamed: 0,userId,tier,gender,following_rate,followers_avg_age,following_avg_age,max_repetitive_punc,num_of_hashtags_per_action,emoji_count_per_action,punctuations_per_action,number_of_words_per_action,avgCompletion,avgTimeSpent,avgDuration,avgComments,creations,content_views,num_of_comments,weekends_trails_watched_per_day,weekdays_trails_watched_per_day,slot1_trails_watched_per_day,slot2_trails_watched_per_day,slot3_trails_watched_per_day,slot4_trails_watched_per_day,avgt2,age_group
265153,48958844,2,1,0,0,0,0,0,0,0,0,0.463330487,34.16,53.99609091,0,0,0.2,0,0.041666667,0.025,0,0,0.175,0.033333333,0,1
405231,51100441,2,2,0,0,0,0,0,0,0.076923077,0.153846154,0.429467752,15.28571429,96.231625,0,0.008474576,0.093220339,0,0.012711864,0.018644068,0,0.084745763,0,0.033898305,82.5,2
57867,6887426,2,1,0,0,0,0,0,0,0,0,0.341657271,22,83.0514147,0,0,0.002785515,0,0,0.000557103,0,0.002785515,0,0,0,1
272618,50742404,2,1,0,0,0,0,0,0,0,0,0.00573526,3,523.08,0,0,0.008403361,0,0,0.001680672,0,0,0,0.008403361,0,1
251123,45589200,2,2,0,0,0,0,0,0,0,0,0.456548797,12.33333333,53.76664,0,0,0.204918033,0,0,0.049180328,0,0.008196721,0.057377049,0.180327869,0,1
229892,41104551,2,1,0,0,0,0,0,0,0,0,0.306116168,7.2,31.36955556,0,0,0.072580645,0,0.080645161,0,0,0,0,0.161290323,0,1
18167,32824244,1,1,0,0,0,0,0,0,0,0.166666667,0.150989253,6.7,127.4023333,0,0.007874016,0.078740157,0,0,0.015748031,0.070866142,0,0.007874016,0,128.2,1
18705,33815341,1,2,0,0,0,0,0,0,0,0.5,0.075047551,2.625,239.2366667,0,0.007874016,0.047244094,0,0.031496063,0,0,0.062992126,0,0,184.78125,3
498266,7900978,2,1,0.013245033,0,0,0,0,0,0,0.008955224,0.182754635,8.255384615,40.81170714,0,0.009933775,1.09602649,0,0,0.215231788,0.195364238,0.149006623,0.125827815,0.605960265,155.5625,4
310459,58074903,2,1,0,0,0,0,0,0,0,0,0.421389746,8.285714286,40.277,0,0,0.067961165,0,0.009708738,0.009708738,0,0.038834951,0.009708738,0.019417476,0,1
351072,68160177,2,1,0,0,0,0,0,0,0,0,0.157348893,2.5,15.7745,0,0,0.031746032,0,0,0.006349206,0,0,0.031746032,0,0,1
321439,59819167,2,1,0,0,0,0,0,0,0,0,0.414853488,10.05263158,19.11564706,0,0,0.189473684,0,0.042105263,0.023157895,0,0,0.136842105,0.063157895,0,1
25008,36540948,1,1,0.007936508,0,0,0,0,0,0,0.125,0.187024086,7.666666667,108.5771667,0,0.007936508,0.047619048,0,0,0.00952381,0,0,0,0.047619048,345.3333333,4
126830,38613976,2,1,0,0,0,0,0,0,0,0.285714286,0.477575992,4.904761905,62.5286875,0,0.016,0.144,0,0.032,0.0208,0,0.04,0.048,0.08,200.875,2
202537,36296004,2,1,0.007936508,0,0,0,0,0,0,0,0.336174998,9.130434783,67.95281818,0,0,0.182539683,0,0.007936508,0.033333333,0,0.015873016,0,0.166666667,0,1
63452,34418363,2,1,0,0,0,0,0,0,0,0,0.031288692,6.714285714,447.446,0,0,0.031496063,0,0,0.011023622,0,0,0,0.05511811,0,1
16863,32554791,1,1,19.640625,1.921013413,1.981818182,5,0,0,0,0.044444444,0.527914155,13.24390244,56.03660498,1,0.109375,2.3359375,0.0078125,0.296875,0.521875,0.015625,0.9296875,1.0859375,1.171875,119.3283582,3
102453,42528592,2,2,0.024390244,1.428571429,1.333333333,0,0,0,0,0.126666667,0.449255109,14.71428571,99.38639098,4,0.056910569,1.12195122,0.032520325,0.052845528,0.297560976,0,0.487804878,0.991869919,0.113821138,177.9583333,1
5844,37742420,1,1,0,0,0,0,0,0,0,0,0.207017772,3.285714286,19.23428571,0,0,0.056,0,0.028,0,0,0,0.056,0,0,1
240864,43163524,2,1,0,0,0,0,0,0,0,0,0.323061103,4.857142857,13.61722857,0,0,0.333333333,0,0,0.068292683,0,0,0.235772358,0.105691057,0,1
104013,38337575,2,1,0.016,3,2,0,0,0,0,0.398601399,0.521068177,8.609756098,38.24156098,0,0.104,1.032,0,0.376,0.1776,0.016,0.408,1.064,0.152,199,2
12881,50294623,1,2,0,0,0,0,0,0,0,0,0.132275132,2,15.12,0,0,0.008403361,0,0,0.001680672,0,0,0.008403361,0,0,1
76473,47299417,2,1,0,0,0,0,0,0,0,0,0.971345313,6,6.177,0,0,0.008264463,0,0.004132231,0,0,0,0,0.008264463,0,1
26019,52440910,1,2,0.008547009,0,0,0,0,0,0,0.027027027,0.33889934,7.870967742,38.81226923,1,0.008547009,0.290598291,0.008547009,0.132478632,0,0,0,0,0.264957265,242.8333333,4
26438,34998606,1,1,1.285714286,2.065217391,2.095890411,3,0,0,0.042553191,2.765957447,0.625797741,86.36842105,61.79444,4,0.111111111,0.222222222,0.031746032,0.123015873,0.071428571,0.031746032,0.238095238,0.222222222,0.111111111,185.2333333,3
965,14211489,1,1,0,0,0,0,0,0,0,0,0.025344581,6,236.737,0,0,0.004255319,0,0.00212766,0,0,0,0,0.004255319,0,1
445058,44850800,2,1,0.016393443,0,0,0,0,0,0,0.176470588,0.255010012,10.52941176,110.5056667,0,0.016393443,0.114754098,0,0,0.027868852,0,0,0.139344262,0,159.6153846,3
365542,71923784,2,1,0,0,0,0,0,0,0,0,0.096171809,3.4,86.1116,0,0,0.098039216,0,0,0.019607843,0,0.098039216,0,0,0,1
162644,47380405,3,1,0.016528926,1,1.5,0,0,0,0,0.01369863,0.539353328,12.14772727,57.22268182,0,0.008264463,0.58677686,0,0,0.145454545,0,0,0.669421488,0.05785124,165.25,3
352891,68728166,2,1,0,0,0,0,0,0,0,0,0.258442018,3.5,13.84,0,0,0.032786885,0,0.016393443,0,0.032786885,0,0,0,0,1
527096,36952587,2,1,0,0,0,0,0,0,0,0.352941176,0.349718116,9.4,48.39806667,0,0.008,0.12,0,0.06,0,0.016,0.104,0,0,330,4
526853,36880420,2,1,0.696,2.153846154,2.25,0,0,0,0,0.034090909,0.321584807,15.95424837,101.9834353,2,0.008,2.08,0.016,0.656,0.2272,0.8,0,1.648,0,178.1111111,4
276745,51705098,2,2,0,0,0,0,0,0,0,0,0.29120659,3.571428571,12.11428571,0,0,0.059322034,0,0.029661017,0,0,0,0,0.059322034,0,1
49825,40921429,1,1,0,0,0,0,0,0,0,0.109090909,0.352945203,10.70833333,137.5717826,0,0.024193548,0.411290323,0,0.141129032,0.059677419,0,0.056451613,0.282258065,0.241935484,172.1,4
104053,608472,2,1,0.00140647,4,3,0,0,0,0,0.882352941,0.086851068,8,127.4439231,0,0.004219409,0.018284107,0,0,0.004219409,0,0.00281294,0,0.018284107,13523.5,4
87605,33333853,2,1,0.015748031,0,0,0,0,0,0,0.111111111,0.203819157,12.6,117.0515714,0,0.007874016,0.05511811,0,0,0.015748031,0,0,0.078740157,0,196.5,1
169069,1463705,3,1,0.003448276,0,0,0,0,0,0,0.05,0.208845961,38.18181818,224.6437,1,0.003448276,0.027586207,0.001724138,0.012068966,0.002758621,0,0.024137931,0,0.013793103,162.375,2
478593,46883221,2,2,0.082644628,0,0,13,0,0,0,0.35483871,0.330091292,17.1954023,77.88447573,0,0.107438017,0.909090909,0,0.132231405,0.234710744,0,0.190082645,1.008264463,0.239669421,191.4230769,4
507820,51442373,2,2,0.974576271,2.230769231,2.5,19,0,0,0,0.253275109,0.338360491,200.9162996,68.63143258,0,0.186440678,1.745762712,0,0.355932203,0.242372881,0.008474576,0.516949153,0.813559322,0.584745763,170.6186441,4
423783,51649548,2,2,0.008474576,0,0,0,0,0,0,0.013986014,0.26339073,6.412121212,78.68032283,0,0.016949153,1.186440678,0,0.372881356,0.130508475,0.440677966,0.338983051,0.508474576,0.110169492,166,4
522956,2437754,2,1,0.013861386,0,0,0,0,0,0,0.285714286,0.382804984,17,68.92466667,0,0.005940594,0.005940594,0,0.001980198,0.00039604,0,0.005940594,0,0,150.7894737,2
416989,34977615,2,2,0.031746032,1.666666667,2.25,0,0,0,0.052631579,0.421052632,0.080991716,10.77777778,197.3178571,0,0.007936508,0.134920635,0,0,0.028571429,0,0.142857143,0,0,19.71428571,2
116539,42497718,2,1,0,0,0,0,0,0,0,0.043478261,0.317521465,4.826086957,47.47075,0,0.008130081,0.170731707,0,0,0.037398374,0,0,0.18699187,0,0,1
298568,55995298,2,1,0,0,0,5,0,0,0,0,0.693677607,17.28571429,33.98014286,1,0,0.259259259,0.009259259,0,0.090740741,0.407407407,0.046296296,0,0,0,1
441951,59334553,2,2,0,0,0,0,0,0,0,0.038461538,0.539509035,14.32692308,37.54884783,0,0.010309278,0.515463918,0,0.268041237,0,0,0.432989691,0.103092784,0,175,4
326041,60573124,2,1,0,0,0,0,0,0,0,0,0.542953591,10.12820513,27.4761875,0,0,0.351648352,0,0,0.085714286,0,0,0,0.428571429,0,1
204085,36598510,2,1,0,0,0,0,0,0,0,0,0.119520337,4.782608696,111.7407273,0,0,0.214285714,0,0,0.036507937,0,0,0,0.182539683,0,1
241978,43431308,2,1,0,0,0,0,0,0,0,0,0.107682937,5.222222222,120.737,0,0,0.089430894,0,0.012195122,0.009756098,0,0.016260163,0,0.056910569,0,1
252774,45965620,2,1,0,0,0,0,0,0,0,0,0.226751801,9.9375,121.4692222,0,0,0.090163934,0,0,0.026229508,0.081967213,0,0,0.049180328,0,1
329038,61060736,2,1,0,0,0,0,0,0,0,0,0.242841294,4.251908397,52.90592982,0,0,1.409090909,0,0,0.297727273,0,0.897727273,0.556818182,0.034090909,0,1
537970,37339893,2,1,0.008,1,1,0,0,0,0.090909091,0.454545455,0.241179027,17.38461538,97.83285714,0,0.016,0.064,0,0.104,0,0,0.112,0.008,0.088,176.5,3
187410,33048475,2,2,0,0,0,0,0,0,0,0,0.018647867,3.5,183.4725,0,0,0.031496063,0,0,0.006299213,0,0.031496063,0,0,0,1
218667,39307626,2,1,0,0,0,0,0,0,0,0,0.300064234,2.25,6.85,0,0,0.032,0,0.016,0,0,0,0,0.032,0,1
450468,44885191,2,1,0.12295082,0,0,0,0,0,0,0.010582011,0.4725546,13.55217391,53.99559016,0,0.008196721,1.532786885,0,0.086065574,0.342622951,0,0.803278689,1.073770492,0.008196721,195.5,4
131298,33834262,3,1,0,0,0,0,0,0,0,0,0.219831749,6,91.87642857,0,0,0.062992126,0,0.019685039,0.004724409,0,0.039370079,0.023622047,0,0,1
240325,43030819,2,1,0,0,0,0,0,0,0,0,0.381467755,6.052631579,18.17263158,0,0,0.154471545,0,0,0.030894309,0,0,0.154471545,0,0,1
364657,71699410,2,1,0,0,0,0,0,0,0,0,0.310169656,4.333333333,13.78666667,0,0,0.057692308,0,0,0.011538462,0,0.057692308,0,0,0,1
76468,47295107,2,1,0,0,0,0,0,0,0,0,0.327082599,8.65,116.7846111,0,0,0.148760331,0,0,0.033057851,0,0,0.165289256,0,0,1
414251,44073033,2,1,0.008196721,0,0,0,0,0,0,0.15625,0.305522404,6.241176471,62.09382143,0,0.090163934,0.950819672,0,0,0.278688525,0.483606557,0.713114754,0.139344262,0.057377049,178.7741935,3
234391,41860663,2,1,0,0,0,0,0,0,0,0,0.629478521,9.981818182,41.60571739,0,0,0.406504065,0,0,0.089430894,0,0.447154472,0,0,0,1
466003,26198324,2,1,0,0,0,0,0,0,0,1.571428571,0.026859454,10,476.5925,0,0.00621118,0.031055901,0,0,0.01242236,0,0,0.037267081,0.02484472,152.5,1
414346,50781949,2,2,0,0,0,4,0,0,0,0.076923077,0.138462001,4.52,109.0194324,0,0.067226891,0.361344538,0,0.109243697,0.040336134,0,0.210084034,0.067226891,0.142857143,184.125,2
499133,41729350,2,1,0.008130081,0,0,0,0,0,0,0.014705882,0.410370251,7.616438356,74.74623077,0,0.008130081,0.536585366,0,0.12195122,0.069918699,0.357723577,0.105691057,0,0.130081301,161,1
201499,36088812,2,2,0,0,0,0,0,0,0,0,0.013334519,8.5,674.94,0,0,0.015873016,0,0,0.003174603,0,0,0,0.015873016,0,1
264421,48779886,2,1,0,0,0,0,0,0,0,0,0.197795589,5.072463768,123.6882857,0,0,1.225,0,0,0.23,0,0.291666667,0.758333333,0.1,0,1
281437,52777301,2,1,0,0,0,0,0,0,0,0,0.703769957,9,12.05333333,0,0,0.025862069,0,0,0.005172414,0,0.025862069,0,0,0,1
5881,37813238,1,1,0,0,0,0,0,0,0,0,0.620539795,9.25,10.248125,0,0,0.064,0,0.032,0,0,0,0.064,0,0,1
376253,74454296,2,1,0,0,0,0,0,0,0,0,0.198125369,6.833333333,68.23766667,0,0,0.159090909,0,0,0.027272727,0,0.113636364,0.022727273,0,0,1
363264,71352433,2,1,0,0,0,0,0,0,0,0,0.124753713,2.8,54.6356,0,0,0.092592593,0,0,0.018518519,0,0,0.092592593,0,0,1
148167,49811149,3,1,0.025,0,0,0,0,0,0,0.015673981,0.153285286,4.973977695,78.67748649,0,0.033333333,2.616666667,0,0,0.448333333,1.341666667,0,0.8,0.1,174.3823529,4
261468,48068910,2,1,0,0,0,0,0,0,0,0,0.212986758,2.333333333,51.0604,0,0,0.049586777,0,0,0.014876033,0,0.041322314,0,0.033057851,0,1
339534,63793279,2,1,0,0,0,0,0,0,0,0,0.474513635,10.93103448,17.71642857,0,0,0.402777778,0,0,0.080555556,0,0.402777778,0,0,0,1
331198,61430399,2,1,0,0,0,0,0,0,0,0,0.731481481,21,12.68,0,0,0.023255814,0,0,0.004651163,0,0,0,0.023255814,0,1
210619,37786903,2,2,0,0,0,0,0,0,0,0,0.579268482,11.22222222,58.35816667,0,0,0.056,0,0.036,0,0,0,0.072,0,0,1
38380,39361930,1,2,0.032,2,3,0,0,0,0,0.040268456,0.401966092,213.3038229,63.64642857,3,0.056,2.296,0.024,1.056,0.3728,0.056,2.176,1.048,0.696,184.2894737,4
512634,41860242,2,1,0.040650407,0,0,0,0,0,0,0.041666667,0.432484688,6.869565217,17.51105882,0,0.040650407,0.146341463,0,0,0.037398374,0,0.18699187,0,0,141.7142857,4
31595,44804662,1,2,0.008196721,0,0,6,0,0,0,0.028571429,0.357409898,9.794117647,96.06709677,0,0.016393443,0.262295082,0,0,0.055737705,0,0,0.278688525,0,130.8333333,3
533632,38580279,2,1,0,0,0,2,0,0,0.026315789,0.039473684,0.275734991,5.826086957,49.46204167,0,0.008,0.592,0,0.46,0,0,0.176,0,0.744,157,4
455426,26012851,2,2,0.006097561,2.75,2,2,0,0,0,0.655172414,0.169846712,22.65765766,184.2487018,1,0.079268293,0.43902439,0.006097561,0.091463415,0.098780488,0.012195122,0.036585366,0.37804878,0.25,190.203125,4
514412,58127232,2,1,1.203883495,2.090909091,2.6,0,0,0,0,0.022988506,0.230046907,17.24375918,106.3520124,0,0.203883495,4.854368932,0,1.04368932,0.904854369,3.524271845,0.009708738,1.495145631,1.582524272,197.5641026,4
141692,49753508,3,1,0,0,0,0,0,0,0,0,0.170263819,2.884615385,68.69547619,0,0,0.183333333,0,0,0.043333333,0,0,0,0.216666667,0,1
425316,52095769,2,1,0,0,0,2,0,0,0,0.214285714,0.457769783,9.288888889,67.10691429,1,0.008547009,0.333333333,0.008547009,0.158119658,0.013675214,0,0.128205128,0.136752137,0.11965812,156,2
206124,37030862,2,1,0,0,0,0,0,0,0,0,0.073919647,2.714285714,64.6302,0,0,0.048,0,0.028,0,0,0.056,0,0,0,1
